exception_type,date,service_id
1,20191124,niedziele handlowe
2,20191124,niehandlowe i święta
1,20191201,niehandlowe i święta
2,20191201,niedziele handlowe
1,20191208,niehandlowe i święta
2,20191208,niedziele handlowe
1,20191215,niedziele handlowe
2,20191215,niehandlowe i święta
1,20191222,niedziele handlowe
2,20191222,niehandlowe i święta
1,20191225,niedziele i święta
1,20191225,niehandlowe i święta
2,20191225,robocze
2,20191225,robocze i soboty
1,20191226,niedziele i święta
1,20191226,niehandlowe i święta
2,20191226,robocze
2,20191226,robocze i soboty
1,20191229,niedziele handlowe
2,20191229,niehandlowe i święta
1,20200101,niedziele i święta
1,20200101,niehandlowe i święta
2,20200101,robocze
2,20200101,robocze i soboty
1,20200105,niehandlowe i święta
2,20200105,niedziele handlowe
1,20200106,niedziele i święta
1,20200106,niehandlowe i święta
2,20200106,robocze
2,20200106,robocze i soboty
1,20200112,niehandlowe i święta
2,20200112,niedziele handlowe
1,20200119,niehandlowe i święta
2,20200119,niedziele handlowe
1,20200126,niehandlowe i święta
2,20200126,niedziele handlowe
1,20200202,niehandlowe i święta
2,20200202,niedziele handlowe
1,20200209,niehandlowe i święta
2,20200209,niedziele handlowe
1,20200216,niehandlowe i święta
2,20200216,niedziele handlowe
1,20200223,niehandlowe i święta
2,20200223,niedziele handlowe
1,20200301,niehandlowe i święta
2,20200301,niedziele handlowe
1,20200308,niehandlowe i święta
2,20200308,niedziele handlowe
1,20200315,niehandlowe i święta
2,20200315,niedziele handlowe
1,20200322,niehandlowe i święta
2,20200322,niedziele handlowe
1,20200329,niehandlowe i święta
2,20200329,niedziele handlowe
1,20200405,niehandlowe i święta
2,20200405,niedziele handlowe
1,20200412,niedziele i święta
1,20200412,niehandlowe i święta
2,20200412,niedziele handlowe
1,20200413,niedziele i święta
1,20200413,niehandlowe i święta
2,20200413,robocze
2,20200413,robocze i soboty
1,20200419,niehandlowe i święta
2,20200419,niedziele handlowe
1,20200426,niehandlowe i święta
2,20200426,niedziele handlowe
1,20200501,niedziele i święta
1,20200501,niehandlowe i święta
2,20200501,robocze
2,20200501,robocze i soboty
1,20200503,niedziele i święta
1,20200503,niehandlowe i święta
2,20200503,niedziele handlowe
1,20200510,niehandlowe i święta
2,20200510,niedziele handlowe
1,20200517,niehandlowe i święta
2,20200517,niedziele handlowe
1,20200524,niehandlowe i święta
2,20200524,niedziele handlowe
1,20200531,niedziele i święta
1,20200531,niehandlowe i święta
2,20200531,niedziele handlowe
1,20200607,niehandlowe i święta
2,20200607,niedziele handlowe
1,20200611,niedziele i święta
1,20200611,niehandlowe i święta
2,20200611,robocze
2,20200611,robocze i soboty
1,20200614,niehandlowe i święta
2,20200614,niedziele handlowe
1,20200621,niehandlowe i święta
2,20200621,niedziele handlowe
1,20200628,niehandlowe i święta
2,20200628,niedziele handlowe
1,20200705,niehandlowe i święta
2,20200705,niedziele handlowe
1,20200712,niehandlowe i święta
2,20200712,niedziele handlowe
1,20200719,niehandlowe i święta
2,20200719,niedziele handlowe
1,20200726,niehandlowe i święta
2,20200726,niedziele handlowe
1,20200802,niehandlowe i święta
2,20200802,niedziele handlowe
1,20200809,niehandlowe i święta
2,20200809,niedziele handlowe
1,20200815,niedziele i święta
1,20200815,niehandlowe i święta
2,20200815,soboty
2,20200815,robocze i soboty
1,20200816,niehandlowe i święta
2,20200816,niedziele handlowe
1,20200823,niehandlowe i święta
2,20200823,niedziele handlowe
1,20200830,niehandlowe i święta
2,20200830,niedziele handlowe
1,20200906,niehandlowe i święta
2,20200906,niedziele handlowe
1,20200913,niehandlowe i święta
2,20200913,niedziele handlowe
1,20200920,niehandlowe i święta
2,20200920,niedziele handlowe
1,20200927,niehandlowe i święta
2,20200927,niedziele handlowe
1,20201004,niehandlowe i święta
2,20201004,niedziele handlowe
1,20201011,niehandlowe i święta
2,20201011,niedziele handlowe
1,20201018,niehandlowe i święta
2,20201018,niedziele handlowe
1,20201025,niehandlowe i święta
2,20201025,niedziele handlowe
1,20201101,niedziele i święta
1,20201101,niehandlowe i święta
2,20201101,niedziele handlowe
1,20201108,niehandlowe i święta
2,20201108,niedziele handlowe
1,20201111,niedziele i święta
1,20201111,niehandlowe i święta
2,20201111,robocze
2,20201111,robocze i soboty
1,20201115,niehandlowe i święta
2,20201115,niedziele handlowe
1,20201122,niehandlowe i święta
2,20201122,niedziele handlowe
1,20201129,niehandlowe i święta
2,20201129,niedziele handlowe
1,20201206,niehandlowe i święta
2,20201206,niedziele handlowe
1,20201213,niehandlowe i święta
2,20201213,niedziele handlowe
1,20201220,niehandlowe i święta
2,20201220,niedziele handlowe
1,20201225,niedziele i święta
1,20201225,niehandlowe i święta
2,20201225,robocze
2,20201225,robocze i soboty
1,20201226,niedziele i święta
1,20201226,niehandlowe i święta
2,20201226,soboty
2,20201226,robocze i soboty
1,20201227,niehandlowe i święta
2,20201227,niedziele handlowe
1,20210101,niedziele i święta
1,20210101,niehandlowe i święta
2,20210101,robocze
2,20210101,robocze i soboty
1,20210103,niehandlowe i święta
2,20210103,niedziele handlowe
1,20210106,niedziele i święta
1,20210106,niehandlowe i święta
2,20210106,robocze
2,20210106,robocze i soboty
1,20210110,niehandlowe i święta
2,20210110,niedziele handlowe
1,20210117,niehandlowe i święta
2,20210117,niedziele handlowe
1,20210124,niehandlowe i święta
2,20210124,niedziele handlowe
1,20210131,niehandlowe i święta
2,20210131,niedziele handlowe
1,20210207,niehandlowe i święta
2,20210207,niedziele handlowe
1,20210214,niehandlowe i święta
2,20210214,niedziele handlowe
1,20210221,niehandlowe i święta
2,20210221,niedziele handlowe
1,20210228,niehandlowe i święta
2,20210228,niedziele handlowe
1,20210307,niehandlowe i święta
2,20210307,niedziele handlowe
1,20210314,niehandlowe i święta
2,20210314,niedziele handlowe
1,20210321,niehandlowe i święta
2,20210321,niedziele handlowe
1,20210328,niehandlowe i święta
2,20210328,niedziele handlowe
1,20210404,niehandlowe i święta
2,20210404,niedziele handlowe
1,20210411,niehandlowe i święta
2,20210411,niedziele handlowe
1,20210418,niehandlowe i święta
2,20210418,niedziele handlowe
1,20210425,niehandlowe i święta
2,20210425,niedziele handlowe
1,20210501,niedziele i święta
1,20210501,niehandlowe i święta
2,20210501,soboty
2,20210501,robocze i soboty
1,20210502,niehandlowe i święta
2,20210502,niedziele handlowe
1,20210503,niedziele i święta
1,20210503,niehandlowe i święta
2,20210503,robocze
2,20210503,robocze i soboty
1,20210509,niehandlowe i święta
2,20210509,niedziele handlowe
1,20210516,niehandlowe i święta
2,20210516,niedziele handlowe
